id,name,type,source,license,commercial
mw-band-high-curl,Band High Curl,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-high-face-pull,Band High Face Pull,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-high-hammer-curl,Band High Hammer Curl,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-high-reverse-curl,Band High Reverse Curl,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-high-to-low-pallof-press-wood-chopper,Band High To Low Pallof Press Wood Chopper,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-hip-abduction,Band Hip Abduction,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-hip-adduction,Band Hip Adduction,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
fedb-Band_Hip_Adductions,Band Hip Adductions,exercise,free-exercise-db,Public Domain (Unlicense),YES
mw-hip-thrust-standing-resisted,Band Hip Thrust,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-horizontal-shrug,Band Horizontal Shrug,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-internally-rotated-chest-fly,Band Internally Rotated Chest Fly,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-knee-extension-closed-chain-standing-resisted,Band Knee Extension,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-kneeling-pulldown,Band Kneeling Pulldown,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-kneeling-single-arm-pulldown,Band Kneeling Single Arm Pulldown,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-lateral-raise,Band Lateral Raise,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-leg-curl,Band Leg Curl,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-leg-extension,Band Leg Extension,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-leg-press,Band Leg Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-low-lateral-raise,Band Low Lateral Raise,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-low-to-high-pallof-press-wood-chopper,Band Low To High Pallof Press Wood Chopper,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-mid-lateral-raise,Band Mid Lateral Raise,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-overhead-press,Band Overhead Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-overhead-tricep-extension,Band Overhead Tricep Extension,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-pallof-press,Band Pallof Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-pallof-press-to-wood-chopper,Band Pallof Press To Wood Chopper,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-press-around,Band Press Around,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-pull-apart,Band Pull Apart,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-pull-around,Band Pull Around,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-pullover,Band Pullover,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-pullthrough,Band Pullthrough,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-pushdown,Band Pushdown,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-pushup,Band Pushup,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-rapunzel-pushdown,Band Rapunzel Pushdown,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-rear-delt-fly,Band Rear Delt Fly,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-reverse-curl,Band Reverse Curl,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-romanian-deadlift,Band Romanian Deadlift,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-row,Band Row,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-cervical-side-flexion-4-seated-theraband,Band Seated Cervical Side Flexion,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-seated-cervical-side-flexion-eccentric,Band Seated Cervical Side Flexion Eccentric,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-seated-cervical-side-flexion-hold,Band Seated Cervical Side Flexion Hold,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-seated-inversions,Band Seated Inversions,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-seated-pulldown,Band Seated Pulldown,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-seated-single-arm-pulldown,Band Seated Single Arm Pulldown,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-shoulder-y-raise,Band Shoulder Y Raise,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-shrug,Band Shrug,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-side-bend,Band Side Bend,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-bent-over-row,Band Single Arm Bent Over Row,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-chest-press,Band Single Arm Chest Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-internally-rotated-chest-fly,Band Single Arm Internally Rotated Chest Fly,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-lateral-raise,Band Single Arm Lateral Raise,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-overhead-press,Band Single Arm Overhead Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-pec-fly,Band Single Arm Pec Fly,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-pulldown,Band Single Arm Pulldown,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-pushdown,Band Single Arm Pushdown,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-row,Band Single Arm Row,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-single-arm-skullcrusher,Band Single Arm Skullcrusher,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-skullcrusher,Band Skullcrusher,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-spanish-squat,Band Spanish Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-squat,Band Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-squat-hold-row,Band Squat Hold Row,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-squat-hold-single-arm-row,Band Squat Hold Single Arm Row,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-standing-chest-press,Band Standing Chest Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-standing-good-morning,Band Standing Good Morning,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-hip-flexions-straight-leg-standing-resisted,Band Straight Leg Hip Flexions,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-tricep-kickback,Band Tricep Kickback,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-upright-row,Band Upright Row,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-band-wood-chopper,Band Wood Chopper,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
