file,exercise,source,gender,category,muscle,equipment
female-Band-band-seated-pulldown-front.mp4,Band Seated Pulldown,musclewiki,female,Pull,Lats,Band
male-Band-band-seated-single-arm-pulldown-front.mp4,Band Seated Single Arm Pulldown,musclewiki,male,Pull,Lats,Band
female-Band-band-seated-single-arm-pulldown-front.mp4,Band Seated Single Arm Pulldown,musclewiki,female,Pull,Lats,Band
male-Recovery-shoulder-d2-raise-standing-theraband-side.mp4,Band Shoulder Y Raise,musclewiki,male,Mobility,Front Shoulders,Recovery
female-Recovery-shoulder-d2-raise-standing-theraband-front.mp4,Band Shoulder Y Raise,musclewiki,female,Mobility,Front Shoulders,Recovery
male-Band-band-shrug-front.mp4,Band Shrug,musclewiki,male,Pull,Traps,Band
female-Band-band-shrug-front.mp4,Band Shrug,musclewiki,female,Pull,Traps,Band
male-Band-band-side-bend-front.mp4,Band Side Bend,musclewiki,male,Core,Obliques,Band
female-Band-band-side-bend-side.mp4,Band Side Bend,musclewiki,female,Core,Obliques,Band
male-Band-band-single-arm-bent-over-row-side.mp4,Band Single Arm Bent Over Row,musclewiki,male,Pull,Lats,Band
female-Band-band-single-arm-bent-over-row-side.mp4,Band Single Arm Bent Over Row,musclewiki,female,Pull,Lats,Band
male-band-chest-press-front.mp4,Band Single Arm Chest Press,musclewiki,male,Push,Chest,Band
female-band-chest-press-front.mp4,Band Single Arm Chest Press,musclewiki,female,Push,Chest,Band
male-Band-band-single-arm-internally-rotated-chest-fly-side.mp4,Band Single Arm Internally Rotated Chest Fly,musclewiki,male,Push,Chest,Band
female-Band-band-single-arm-internally-rotated-chest-fly-side.mp4,Band Single Arm Internally Rotated Chest Fly,musclewiki,female,Push,Chest,Band
male-Band-band-single-arm-lateral-raise-front.mp4,Band Single Arm Lateral Raise,musclewiki,male,Push,Shoulders,Band
female-Band-band-single-arm-lateral-raise-side.mp4,Band Single Arm Lateral Raise,musclewiki,female,Push,Shoulders,Band
male-band-single-arm-overhead-press-front.mp4,Band Single Arm Overhead Press,musclewiki,male,Push,Shoulders,Band
female-band-single-arm-overhead-press-front.mp4,Band Single Arm Overhead Press,musclewiki,female,Push,Shoulders,Band
male-band-chest-fly-front.mp4,Band Single Arm Pec Fly,musclewiki,male,Push,Chest,Band
female-band-chest-fly-front.mp4,Band Single Arm Pec Fly,musclewiki,female,Push,Chest,Band
male-Band-band-single-arm-pulldown-front.mp4,Band Single Arm Pulldown,musclewiki,male,Pull,Lats,Band
female-Band-band-single-arm-pulldown-front.mp4,Band Single Arm Pulldown,musclewiki,female,Pull,Lats,Band
male-band-single-arm-pushdown-front.mp4,Band Single Arm Pushdown,musclewiki,male,Push,Triceps,Band
female-band-single-arm-pushdown-front.mp4,Band Single Arm Pushdown,musclewiki,female,Push,Triceps,Band
male-Band-band-single-arm-row-side.mp4,Band Single Arm Row,musclewiki,male,Pull,Lats,Band
female-Band-band-single-arm-row-front.mp4,Band Single Arm Row,musclewiki,female,Pull,Lats,Band
male-band-single-arm-skullcrusher-front.mp4,Band Single Arm Skullcrusher,musclewiki,male,Push,Triceps,Band
female-band-single-arm-skullcrusher-front.mp4,Band Single Arm Skullcrusher,musclewiki,female,Push,Triceps,Band
male-Band-band-skullcrusher-front.mp4,Band Skullcrusher,musclewiki,male,Push,Triceps,Band
female-Band-band-skullcrusher-side.mp4,Band Skullcrusher,musclewiki,female,Push,Triceps,Band
male-Band-band-spanish-squat-front.mp4,Band Spanish Squat,musclewiki,male,Legs,Glutes,Band
female-Band-band-spanish-squat-side.mp4,Band Spanish Squat,musclewiki,female,Legs,Glutes,Band
male-Band-band-squat-front.mp4,Band Squat,musclewiki,male,Legs,Glutes,Band
female-Band-band-squat-side.mp4,Band Squat,musclewiki,female,Legs,Glutes,Band
male-Band-band-squat-hold-row-side.mp4,Band Squat Hold Row,musclewiki,male,Legs,Glutes,Band
female-Band-band-squat-hold-row-side.mp4,Band Squat Hold Row,musclewiki,female,Legs,Glutes,Band
male-Band-band-squat-hold-single-arm-row-side.mp4,Band Squat Hold Single Arm Row,musclewiki,male,Legs,Glutes,Band
female-Band-band-squat-hold-single-arm-row-side.mp4,Band Squat Hold Single Arm Row,musclewiki,female,Legs,Glutes,Band
male-Band-band-standing-chest-press-front.mp4,Band Standing Chest Press,musclewiki,male,Push,Chest,Band
female-Band-band-standing-chest-press-front.mp4,Band Standing Chest Press,musclewiki,female,Push,Chest,Band
male-Band-band-standing-good-morning-side.mp4,Band Standing Good Morning,musclewiki,male,Legs,Glutes,Band
female-Band-band-standing-good-morning-front.mp4,Band Standing Good Morning,musclewiki,female,Legs,Glutes,Band
male-Recovery-hip-flexions-straight-leg-standing-resisted-side.mp4,Band Straight Leg Hip Flexions,musclewiki,male,Mobility,Rectus Femoris,Recovery
female-Recovery-hip-flexions-straight-leg-standing-resisted-side.mp4,Band Straight Leg Hip Flexions,musclewiki,female,Mobility,Rectus Femoris,Recovery
male-Band-band-tricep-kickback-front.mp4,Band Tricep Kickback,musclewiki,male,Push,Triceps,Band
female-Band-band-tricep-kickback-side.mp4,Band Tricep Kickback,musclewiki,female,Push,Triceps,Band
male-Band-band-upright-row-side.mp4,Band Upright Row,musclewiki,male,Push,Shoulders,Band
female-Band-band-upright-row-front.mp4,Band Upright Row,musclewiki,female,Push,Shoulders,Band
male-Band-band-wood-chopper-front.mp4,Band Wood Chopper,musclewiki,male,Core,Obliques,Band
female-Band-band-wood-chopper-front.mp4,Band Wood Chopper,musclewiki,female,Core,Obliques,Band
fXWMVgaE-ryqiVsBL.mp4,Band-resisted push-up,centr,,Push,,
WFrczbSG-f9Vyd3qF.mp4,Banded alternating overhead press,centr,,Push,,
1RuPQiSU-f9Vyd3qF.mp4,Banded alternating reverse lunge + bicep curl,centr,,Pull,,
GREilPkg-f9Vyd3qF.mp4,Banded alternating skaters + presses,centr,,Full body,,
Ph6WEGKi-f9Vyd3qF.mp4,Banded bear crawl,centr,,Core,,
UYBEoH92-f9Vyd3qF.mp4,Banded bent-over row,centr,,Pull,,
PMd7vNZ2-f9Vyd3qF.mp4,Banded bicep curl,centr,,Pull,,
ObsMCukS-f9Vyd3qF.mp4,Banded chest fly,centr,,Push,,
qt2Yregu-f9Vyd3qF.mp4,Banded donkey kicks (left),centr,,Full body,,
hdroOviz-f9Vyd3qF.mp4,Banded donkey kicks (right),centr,,Full body,,
iti4kZiX-f9Vyd3qF.mp4,Banded donkey kicks + leg extension (left),centr,,Legs,,
3vPo1NV7-f9Vyd3qF.mp4,Banded donkey kicks + leg extension (right),centr,,Legs,,
6sT2RYwA-f9Vyd3qF.mp4,Banded dumbbell glute bridge + abduction,centr,,Legs,,
Wv912HKb-f9Vyd3qF.mp4,Banded dumbbell half rollback + rear fly,centr,,Push,,
Jk1Utn5X-f9Vyd3qF.mp4,Banded dumbbell prone back extension,centr,,Full body,,
1QWCindy-f9Vyd3qF.mp4,Banded dumbbell roll-up + rotational press,centr,,Mobility,,
zd0STcDk-ryqiVsBL.mp4,Banded dumbbell squat + alternating heel raise,centr,,Legs,,
B2MyUMJZ-f9Vyd3qF.mp4,Banded dumbbell squat + tap + press,centr,,Push,,
p8ZQrgYm-f9Vyd3qF.mp4,Banded front raise (left),centr,,Push,,
IWkeKv8Z-f9Vyd3qF.mp4,Banded front raise (right),centr,,Push,,
8xnK6PuB-f9Vyd3qF.mp4,Banded lateral squat shuffle,centr,,Legs,,
xhm7bjM0-f9Vyd3qF.mp4,Banded mountain climbers,centr,,Full body,,
nj09Viqv-f9Vyd3qF.mp4,Banded plank shoulder taps,centr,,Core,,
Lus2HmCg-f9Vyd3qF.mp4,Banded pull-apart,centr,,Pull,,
Dfhlgf0N-f9Vyd3qF.mp4,Banded push-up (fabric band),centr,,Push,,
hS4sTmDW-f9Vyd3qF.mp4,Banded rope pushdown,centr,,Full body,,
NbZQXRWj-f9Vyd3qF.mp4,Banded running on the spot,centr,,Full body,,
lWtrZTkm-f9Vyd3qF.mp4,Banded seated row,centr,,Pull,,
92KJTaXR-f9Vyd3qF.mp4,Banded shoulder pass-through,centr,,Full body,,
male-Recovery-side-walks-resisted-front.mp4,Banded Side Walks,musclewiki,male,Legs,Glutes,Band
female-Recovery-side-walks-resisted-front.mp4,Banded Side Walks,musclewiki,female,Legs,Glutes,Band
F4oltzha-f9Vyd3qF.mp4,Banded side-lying donkey kicks (left),centr,,Full body,,
XouvQOZl-f9Vyd3qF.mp4,Banded side-lying donkey kicks (right),centr,,Full body,,
nyslk1n3-f9Vyd3qF.mp4,Banded side-lying leg lifts (left),centr,,Legs,,
RNgTORLa-f9Vyd3qF.mp4,Banded side-lying leg lifts (right),centr,,Legs,,
hMG8uYVx-f9Vyd3qF.mp4,Banded side-lying leg lifts + donkey kicks (left),centr,,Legs,,
kfUdLSoz-f9Vyd3qF.mp4,Banded side-lying leg lifts + donkey kicks (right),centr,,Legs,,
Yple7QEh-f9Vyd3qF.mp4,Banded single-arm pushdown (left),centr,,Full body,,
cx5SFypl-f9Vyd3qF.mp4,Banded single-arm pushdown (right),centr,,Full body,,
BqupaYCV-f9Vyd3qF.mp4,Banded single-leg mountain climbers (left),centr,,Legs,,
9fs77PMP-f9Vyd3qF.mp4,Banded single-leg mountain climbers (right),centr,,Legs,,
KH89g80x-f9Vyd3qF.mp4,Banded squat pulse + cross-body punches,centr,,Cardio,,
M1saLWQh-f9Vyd3qF.mp4,Banded star jumps,centr,,Cardio,,
zRNiuXto-f9Vyd3qF.mp4,Banded step-out punch (left),centr,,Cardio,,
DnjCaBYG-f9Vyd3qF.mp4,Banded step-out punch (right),centr,,Cardio,,
xvyq6P7k-f9Vyd3qF.mp4,Banded tricep kickbacks,centr,,Push,,
deKvExDB-f9Vyd3qF.mp4,Banded tricep stretch (left),centr,,Mobility,,
diEGaf1j-f9Vyd3qF.mp4,Banded tricep stretch (right),centr,,Mobility,,
AGeqDrEg-f9Vyd3qF.mp4,Banded underhand-grip pulldown,centr,,Pull,,
qgKXOzkQ-f9Vyd3qF.mp4,Banded wide face pull,centr,,Pull,,
BGhAlW9K-f9Vyd3qF.mp4,Banded wood chop (left),centr,,Full body,,
BGhAlW9K-f9Vyd3qF.mp4,Banded wood chop (right),centr,,Full body,,
male-Barbell-barbell-30-degree-shrug-side.mp4,Barbell 30 Degree Shrug,musclewiki,male,Pull,Traps,Barbell
female-Barbell-barbell-30-degree-shrug-side.mp4,Barbell 30 Degree Shrug,musclewiki,female,Pull,Traps,Barbell
hIPuWpyu-ryqiVsBL.mp4,Barbell back squat,centr,,Legs,,
hIPuWpyu-ryqiVsBL.mp4,Barbell back squat (25% lifting weight),centr,,Legs,,
hIPuWpyu-ryqiVsBL.mp4,Barbell back squat (50% lifting weight),centr,,Legs,,
ctdqatg8-ryqiVsBL.mp4,Barbell back Squats,centr,,Full body,,
7Sbc3hya-ryqiVsBL.mp4,Barbell back squats 50%,centr,,Full body,,
7Sbc3hya-ryqiVsBL.mp4,Barbell back squats 75%,centr,,Full body,,
male-Barbell-barbell-banded-back-squat-front.mp4,Barbell Banded Back Squat,musclewiki,male,Legs,Quads,Barbell
female-Barbell-barbell-banded-back-squat-front.mp4,Barbell Banded Back Squat,musclewiki,female,Legs,Quads,Barbell
male-Barbell-barbell-banded-deadlift-front.mp4,Barbell Banded Deadlift,musclewiki,male,Legs,Glutes,Barbell
female-Barbell-barbell-banded-deadlift-side.mp4,Barbell Banded Deadlift,musclewiki,female,Legs,Glutes,Barbell
male-Barbell-barbell-banded-front-squat-front.mp4,Barbell Banded Front Squat,musclewiki,male,Legs,Glutes,Barbell
female-Barbell-barbell-banded-front-squat-front.mp4,Barbell Banded Front Squat,musclewiki,female,Legs,Glutes,Barbell
male-Barbell-barbell-banded-romanian-deadlift-front.mp4,Barbell Banded Romanian Deadlift,musclewiki,male,Legs,Glutes,Barbell
female-Barbell-barbell-banded-romanian-deadlift-side.mp4,Barbell Banded Romanian Deadlift,musclewiki,female,Legs,Glutes,Barbell
male-Barbell-barbell-banded-split-squat-front.mp4,Barbell Banded Split Squat,musclewiki,male,Legs,Glutes,Barbell
female-Barbell-barbell-banded-split-squat-front.mp4,Barbell Banded Split Squat,musclewiki,female,Legs,Glutes,Barbell
male-Barbell-barbell-behind-the-back-30-degree-shrug-front.mp4,Barbell Behind The Back 30 Degree Shrug,musclewiki,male,Pull,Traps,Barbell
